Quarter,Year,Subs,Company
Q1,2013,27.91,Netflix
Q2,2013,28.62,Netflix
Q3,2013,29.93,Netflix
Q4,2013,31.71,Netflix
Q1,2014,34.38,Netflix
Q2,2014,35.09,Netflix
Q3,2014,36.27,Netflix
Q4,2014,37.7,Netflix
Q1,2015,40.32,Netflix
Q2,2015,41.06,Netflix
Q3,2015,42.07,Netflix
Q4,2015,43.4,Netflix
Q1,2016,45.71,Netflix
Q2,2016,46,Netflix
Q3,2016,46.48,Netflix
Q4,2016,47.91,Netflix
Q1,2017,54.58,Netflix
Q2,2017,55.62,Netflix
Q3,2017,56.78,Netflix
Q4,2017,58.42,Netflix
Q1,2018,60.91,Netflix
Q2,2018,61.87,Netflix
Q3,2018,63.01,Netflix
Q4,2018,64.76,Netflix
Q1,2019,66.63,Netflix
Q2,2019,66.5,Netflix
Q3,2019,67.11,Netflix
Q4,2019,67.66,Netflix
Q1,2020,69.97,Netflix
Q2,2020,72.9,Netflix
Q3,2020,73.08,Netflix
Q4,2020,73.94,Netflix
Q1,2021,74.38,Netflix
Q2,2021,73.95,Netflix
Q3,2021,74.02,Netflix
Q4,2021,75.22,Netflix
Q1,2022,74.58,Netflix
Q2,2022,73.28,Netflix
Q3,2022,73.39,Netflix
Q4,2022,74.3,Netflix
Q1,2023,74.4,Netflix
